原保险保费收入,原保险保费收入__1、财产险,原保险保费收入__2、人身险,原保险保费收入__2、人身险__（1）寿险,原保险保费收入__2、人身险__（2）健康险,原保险保费收入__2、人身险__（3）人身意外伤害险,人身保险公司保户投资款新增交费,人身保险公司投连险独立账户新增交费,原保险赔付支出,原保险赔付支出__1、财产险,原保险赔付支出__2、人身险,原保险赔付支出__2、人身险__（1）寿险,原保险赔付支出__2、人身险__（2）健康险,原保险赔付支出__2、人身险__（3）人身意外伤害险,业务及管理费,银行存款,投资,资产总额,from_url,info,养老保险公司企业年金缴费,养老保险公司企业年金受托管理资产,养老保险公司企业年金投资管理资产
309591008.90,87244981.36,222346027.54,174422166.77,40424967.91,7498892.86,118601615.29,9389744.45,105128899.84,47261838.89,57867060.95,46029461.77,10007522.22,1830076.96,38955248.72,248442107.31,1090664619.03,1511691649.52,http://www.iachina.cn/art/2017/2/22/art_617_94214.html,2016年保险业经营情况表,,,
288648711.10,77730543.83,210918167.27,165566817.12,38417959.98,6933390.17,112263381.48,8881889.86,94500194.17,41311225.98,53188968.18,42875209.48,8707195.14,1606563.56,33562674.75,235223944.12,1076667609.93,1496086029.44,http://www.iachina.cn/art/2016/12/23/art_617_94213.html,2016年1-11月保险业经营情况表,,,
270103752.11,70183820.60,199919931.51,157039706.85,36477410.33,6402814.33,104637259.38,7989407.78,85261669.92,36701245.17,48560424.75,39465560.63,7634167.17,1460696.94,29896253.79,232342208.54,1058768949.84,1480266401.04,http://www.iachina.cn/art/2016/11/30/art_617_94212.html,2016年1-10月保险业经营情况表,,,
251682615.02,63705827.27,187976787.74,147838733.48,34304068.94,5833985.32,99123790.51,7346167.49,77506998.97,33215870.33,44291128.64,36105332.60,6871908.29,1313887.75,26859725.66,229613643.49,1053248219.52,1463190172.53,http://www.iachina.cn/art/2016/11/7/art_617_94211.html,2016年1-9月保险业经营情况表,,,
229589373.20,56350848.93,173238524.26,137214564.44,30982305.06,5041654.77,92951878.19,6689575.75,69011431.16,29371278.69,39640152.47,32427248.80,6053100.72,1159802.94,23515521.90,225269540.98,1048609761.65,1448263921.52,http://www.iachina.cn/art/2016/9/29/art_617_94210.html,2016年1-8月保险业经营情况表,,,
208304687.61,49791663.94,158513023.67,126613775.31,27438919.08,4460329.28,86700047.31,6056950.55,60566724.12,25379241.80,35187482.32,29035024.29,5159270.14,993187.90,20507797.76,217747966.60,1038634824.02,1432593729.63,http://www.iachina.cn/art/2016/8/22/art_617_94209.html,2016年1-7月保险业经营情况表,,,
188128166.51,43019660.02,145108506.49,117610249.26,23593324.63,3904932.60,81032356.51,5452215.04,52623695.95,21655509.54,30968186.41,25742741.37,4375590.67,849854.37,17687901.84,236052312.16,1020240680.25,1426607548.51,http://www.iachina.cn/art/2016/7/21/art_617_94208.html,2016年1-6月保险业经营情况表,,,
161201764.23,35435078.32,125766685.91,103408292.70,19139616.05,3218777.16,75962861.43,4860964.07,44524029.64,17984871.35,26539158.29,22173948.17,3654886.26,710323.86,14338616.28,221683862.08,989409166.27,1397690028.45,http://www.iachina.cn/art/2016/6/20/art_617_94207.html,2016年1-5月保险业经营情况表,,,
140801206.00,28850774.17,111950431.83,93883220.39,15421110.71,2646100.73,69694186.03,3994770.40,36774442.84,14334410.42,22440032.42,18908726.44,2960829.27,570476.72,11514247.34,222636607.31,974508334.95,1380010971.45,http://www.iachina.cn/art/2016/5/27/art_617_94206.html,2016年1-4月保险业经营情况表,,,
119791207.15,21544037.68,98247169.47,84592829.81,11687399.39,1966940.27,59689897.36,3024829.18,28913298.82,10759501.94,18153796.88,15437032.78,2274342.82,442421.28,8383169.19,265102453.56,934324917.55,1385353420.12,http://www.iachina.cn/art/2016/4/26/art_617_94205.html,2016年1-3月保险业经营情况表,,,
90674785.49,14036336.78,76638448.71,68007488.77,7516105.16,1114854.78,40683196.39,2107384.17,18987634.11,6728582.54,12259051.58,10497913.23,1493581.19,267557.15,5424109.47,247290457.37,907098625.02,1292620794.11,http://www.iachina.cn/art/2016/3/24/art_617_94204.html,2016年1-2月保险业经营情况表,--,--,--
63767336.42,9259091.08,54508245.34,49544549.50,4269825.93,693869.91,20413956.32,1165605.66,10126328.16,3871774.24,6254553.92,5156649.92,942187.55,155716.45,2830623.22,250411989.57,885453963.51,1262771980.91,http://www.iachina.cn/art/2016/2/24/art_617_94203.html,2016年1月保险业经营情况表,--,--,--
242825194.63,79949687.36,162875507.27,132415207.17,24104715.15,6355584.95,76465639.86,6778832.75,86741397.49,41941665.57,44799731.92,35651680.05,7629656.85,1518395.01,33367214.98,243496744.97,874458120.40,1235977649.28,http://www.iachina.cn/art/2016/1/28/art_617_94202.html,2015年保险业经营情况表,8742036.99,41687972.86,35255111.75
223966464.34,71486480.85,152479983.50,124376419.99,22196020.58,5907542.93,67032741.90,6313859.48,77227749.64,36246948.14,40980801.51,33074338.85,6569470.80,1336991.86,28808452.34,252890209.76,832487792.47,1207942479.54,http://www.iachina.cn/art/2015/12/30/art_617_94201.html,2015年1-11月保险业经营情况表,--,--,--
207071243.85,65056570.32,142014673.54,116270676.20,20272493.71,5471503.63,60239784.89,5396544.12,69295724.23,32147405.20,37148319.02,30151391.46,5792783.74,1204143.82,25724649.60,241890961.86,818725396.58,1183413496.39,http://www.iachina.cn/art/2015/11/30/art_617_94200.html,2015年1-10月保险业经营情况表,--,--,--
190405199.36,59109448.32,131295751.03,107950842.36,18367115.26,4977793.41,54853701.64,4379587.81,62605427.08,28921916.53,33683510.54,27427928.54,5162897.04,1092684.96,23035805.77,254246528.57,785100356.27,1157795981.53,http://www.iachina.cn/art/2015/10/30/art_617_11031.html,2015年1-9月保险业经营情况表,6697132.27,38812663.47,33468898.94
170466640.00,52418742.11,118047897.89,97783706.51,15998579.11,4265612.27,48289747.00,3878702.18,55572787.76,25324066.83,30248720.93,24740529.66,4548909.75,959281.53,20083748.94,250007307.88,769071367.45,1127236367.64,http://www.iachina.cn/art/2015/9/29/art_617_11032.html,2015年1-8月保险业经营情况表,--,--,--
153837585.88,46519307.86,107318278.03,89384285.47,14140386.71,3793605.85,39665901.69,3288996.14,48871701.24,21906775.07,26964926.16,22189386.57,3950441.55,825098.04,17469496.49,254281858.46,763026693.32,1122941074.37,http://www.iachina.cn/art/2015/8/25/art_617_11034.html,2015年1-7月保险业经营情况表,--,--,--
137025294.22,40178621.72,96846672.51,81099643.85,12458783.18,3288245.48,32766477.60,2800987.88,42041157.31,18343313.34,23697843.97,19721641.29,3306588.13,669614.55,14924693.31,267908765.32,768936120.71,1142969150.72,http://www.iachina.cn/art/2015/7/28/art_617_11035.html,2015年1-6月保险业经营情况表,5036265.91,38366931.14,32938215.75
116664063.31,32898424.50,83765638.80,71017545.80,10066406.50,2681686.50,27301096.67,2421798.15,35764845.92,15464321.70,20300524.23,16977438.38,2769630.79,553455.06,11886422.43,254878509.58,775669214.27,1131001421.47,http://www.iachina.cn/art/1970/1/1/art_617_11037.html,2015年1-5月保险业经营情况表,--,--,--
116664063.31,32898424.50,83765638.80,71017545.80,10066406.50,2681686.50,27301096.67,2421798.15,35764845.92,15464321.70,20300524.23,16977438.38,2769630.79,553455.06,11886422.43,254878509.58,775669214.27,1131001421.47,http://www.iachina.cn/art/2015/6/29/art_617_11036.html,2015年1-5月保险业经营情况表,--,--,--
100251459.49,26537828.44,73713631.04,63445827.60,8099817.17,2167986.27,22807055.18,1808855.56,29663953.37,12362155.71,17301797.65,14603736.47,2254922.42,443138.76,9408929.40,254350435.44,749654676.76,1102676464.47,http://www.iachina.cn/art/2015/5/25/art_617_11038.html,2015年1-4月保险业经营情况表,--,--,--
40055628.45,8423604.71,31632023.73,28538605.78,2499828.87,593589.08,7219382.41,455434.58,7943527.87,3375350.12,4568177.75,3794976.51,654519.59,118681.65,2271753.51,250874861.89,692277747.60,1038122679.70,http://www.iachina.cn/art/1970/1/1/art_617_11040.html,2015年1月保险业经营情况表,--,--,--
202348105.82,72033761.12,130314344.69,109016899.78,15871785.71,5425659.20,39167542.44,2894978.55,72162124.60,37882124.70,34279999.89,27284267.23,5711551.87,1284180.79,27957924.00,252334393.26,669974117.75,1015914712.81,http://www.iachina.cn/art/2015/1/26/art_617_11042.html,2014年保险业经营情况表,6067598.89,31599422.28,28578899.31
187147567.89,64520884.35,122626683.54,102797946.12,14759745.83,5068991.59,35211605.00,2120228.04,64236266.18,32989850.08,31246416.10,25162393.06,4952296.60,1131726.44,23991652.63,249067256.54,645720611.98,983188980.97,http://www.iachina.cn/art/1970/1/1/art_617_11044.html,2014年1-11月保险业经营情况表,--,--,--
173014986.79,58693701.22,114321285.58,95955146.53,13665597.56,4700541.49,32626621.07,1763566.86,57823679.37,29372016.07,28451663.31,23007911.17,4420291.05,1023461.09,21565083.28,246426791.08,633681870.89,964770827.42,http://www.iachina.cn/art/2014/11/24/art_617_11045.html,2014年1-10月保险业经营情况表,--,--,--
159341746.92,53418644.36,105923102.55,89032327.28,12603635.85,4287139.42,30250306.20,1271177.84,52377240.97,26416532.71,25960708.27,21051573.00,3978275.93,930859.34,19389511.95,250950327.72,625815358.10,960757874.23,http://www.iachina.cn/art/2014/10/24/art_617_11047.html,2014年1-9月保险业经营情况表,4389881.32,29490090.45,25990519.89
142598055.46,47414129.33,95183926.13,80387085.73,11127158.27,3669682.13,27714360.10,1041905.86,46390811.70,23256716.06,23134095.63,18817044.32,3500601.18,816450.13,16917829.57,240213764.47,617909591.53,948250497.02,http://www.iachina.cn/art/2014/9/26/art_617_11049.html,2014年1-8月保险业经营情况表,--,--,--
128314836.19,41977644.45,86337191.73,73022724.25,10050314.26,3264153.22,25223429.77,638794.77,40890677.93,20280783.82,20609894.10,16853706.31,3051825.99,704361.80,14756383.66,239028131.58,613136474.08,932509487.24,http://www.iachina.cn/art/2014/8/26/art_617_11051.html,2014年1-7月保险业经营情况表,--,--,--
114887150.00,36228588.77,78658561.23,66872584.88,8929225.20,2856751.15,22363289.08,359836.24,35316183.87,17131718.32,18184465.54,15015215.77,2576498.23,592751.54,12684260.57,256184603.65,602881775.45,937371501.30,http://www.iachina.cn/art/2014/8/4/art_617_11053.html,2014年1-6月保险业经营情况表,3064864.16,28044750.84,24535621.61
97656733.70,29516985.85,68139747.85,58555317.60,7218034.41,2366395.84,19554466.62,296727.56,29588694.30,14163759.28,15424935.02,12752514.64,2172630.34,499790.04,10303457.69,233296584.26,595775268.01,904381896.64,http://www.iachina.cn/art/2014/6/25/art_617_11056.html,2014年1-5月保险业经营情况表,--,--,--
83613699.86,23690424.56,59923275.30,51996016.45,6004915.08,1922343.77,16694767.69,230001.33,24238140.16,11266617.74,12971522.41,10794890.11,1768548.65,408083.65,8226484.23,231013884.06,584885008.12,890099483.10,http://www.iachina.cn/art/2014/5/27/art_617_11055.html,2014年1-4月保险业经营情况表,--,--,--
69997807.87,17570075.88,52427731.99,46073962.91,4917799.58,1435969.50,13664292.53,170051.88,18592623.98,8341461.63,10251162.35,8627798.00,1332248.80,291115.55,6127523.38,250311842.68,571971463.80,894587389.88,http://www.iachina.cn/art/2014/4/28/art_617_11059.html,2014年1-3月保险业经营情况表,1656892.54,26482134.49,23137309.63
50422575.00,11183336.02,39239238.98,35296308.00,3148607.90,794323.08,10211943.40,100861.26,12086150.11,5411046.24,6675103.87,5598645.97,877754.91,198702.99,3920239.46,224271341.36,559438690.87,850446345.93,http://www.iachina.cn/art/2014/4/10/art_617_11060.html,2014年1-2月保险业经营情况表,--,--,--
33673843.77,7401733.99,26272109.79,23858604.12,1916172.80,497332.87,5424591.13,54037.37,7042094.98,3568792.63,3473302.34,2791568.61,560300.11,121433.62,2149409.65,219879293.44,552780276.11,838653761.93,http://www.iachina.cn/art/2014/2/26/art_617_11061.html,2014年1月保险业经营情况表,--,--,--
172222375.23,62122577.83,110099797.40,94251414.16,11234960.47,4613422.77,32123183.65,831751.31,62129030.29,34391379.13,27737651.16,22531329.39,4111271.11,1095050.66,24595864.37,226409772.33,542324291.55,828869456.04,http://www.iachina.cn/art/2014/2/17/art_617_11062.html,2013年保险业经营情况表,5887621.45,24953391.99,21675214.21
158863815.70,55849538.07,103014277.64,88471459.63,10216730.91,4326087.10,29997990.94,785747.36,55457328.42,29962185.17,25495143.25,20970499.20,3562486.11,962157.94,21413538.02,218118333.66,528712757.71,809036614.99,http://www.iachina.cn/art/2014/2/17/art_617_11063.html,2013年1-11月保险业经营情况表,--,--,--
146316249.83,50721788.80,95594461.03,82188154.75,9408160.47,3998145.81,27427970.28,725682.05,49761882.77,26281712.38,23480170.39,19463760.25,3156345.88,860064.26,19195422.42,217834926.24,518979726.41,798628917.14,http://www.iachina.cn/art/2013/11/28/art_617_11064.html,2013年1-10月保险业经营情况表,--,--,--
134326095.31,46212532.33,88113562.97,75894033.98,8575412.95,3644116.04,25139128.92,669682.45,45087683.59,23520546.89,21567136.71,17961553.11,2826236.47,779347.13,17271266.20,228786259.79,512802437.25,805300247.33,http://www.iachina.cn/art/2014/1/15/art_617_11065.html,2013年1-9月保险业经营情况表,4458428.55,23841642.90,20941125.70
119426979.96,40863196.73,78563783.24,68011222.57,7424541.06,3128019.61,22572379.35,624342.78,39797693.10,20616050.15,19181642.96,16010721.01,2485939.54,684982.41,15154855.79,221422027.46,505642782.39,790589242.64,http://www.iachina.cn/art/2013/11/7/art_617_11066.html,2013年1-8月保险业经营情况表,--,--,--
107095348.28,36084371.96,71010976.32,61579500.58,6657708.30,2773767.44,20132281.99,563421.56,34684358.61,17776740.09,16907618.52,14150027.83,2169790.67,587800.02,13263166.32,223033497.11,498477367.66,782594272.79,http://www.iachina.cn/art/2013/9/3/art_617_11068.html,2013年1-7月保险业经营情况表,--,--,--
95123999.09,31266648.47,63857350.62,55565781.41,5864739.01,2426830.20,18241665.75,501421.80,29625597.45,14942635.18,14682962.26,12376677.80,1812915.88,493368.58,11307063.75,234050157.05,494242497.73,788396900.82,http://www.iachina.cn/art/2014/1/15/art_617_11067.html,2013年1-6月保险业经营情况表,3134090.90,23123744.91,19295024.89
77438849.66,25430125.93,52008723.73,45488709.40,4545935.99,1974078.34,15766227.14,425183.42,24801444.53,12498714.22,12302730.31,10355199.05,1529053.12,418478.14,9248710.38,219702501.33,489283108.44,767696747.45,http://www.iachina.cn/art/2013/6/27/art_617_11070.html,2013年1-5月保险业经营情况表,--,--,--
64667369.97,20431110.59,44236259.38,38935738.78,3713029.10,1587491.51,12730632.56,367884.08,19933417.58,9834753.59,10098663.98,8556420.12,1206594.25,335649.61,7345157.01,220787448.14,476969658.46,756361575.46,http://www.iachina.cn/art/2013/5/24/art_617_11071.html,2013年1-4月保险业经营情况表,--,--,--
51505899.06,15127966.16,36377932.90,32241388.17,2948418.77,1188125.96,,,14879192.20,7297058.22,7582133.98,6437144.39,892746.54,252243.05,5456019.95,239921956.86,468754116.33,766864640.81,http://www.iachina.cn/art/2013/4/23/art_617_11072.html,2013年1-3月保险业经营情况表,1670184.29,21803738.84,18430833.34
33941237.27,9509443.17,24431794.10,21987602.63,1815746.48,628444.99,,,9477929.63,4749225.50,4728704.13,3989911.11,576478.92,162314.10,3509282.04,217153520.54,465439176.93,740509128.66,http://www.iachina.cn/art/2013/3/26/art_617_11073.html,2013年1-2月保险业经营情况表,--,--,--
20118666.96,6115067.74,14003599.22,12546140.92,1056793.95,400664.35,,,5009201.54,2805036.26,2204165.27,1751672.27,357741.60,94751.40,1854213.06,218648385.12,460888293.17,736149331.10,http://www.iachina.cn/art/2013/2/26/art_617_11074.html,2013年1月保险业经营情况表,--,--,--
154879298.09,53309273.47,101570024.62,89080569.76,8627607.13,3861847.73,,,47163184.60,28163316.38,18999868.23,15050143.88,2981707.45,968016.90,21714623.69,234460040.26,450965776.16,735457303.92,http://www.iachina.cn/art/2013/1/23/art_617_11075.html,2012年保险业经营情况表,6617266.36,20090059.76,17111617.63
142445423.87,48049983.99,94395439.87,82843342.41,7945743.45,3606354.01,,,42152426.73,24668834.33,17483592.41,13973638.66,2654251.94,855701.81,18875535.71,212491105.41,427521597.52,692163550.32,http://www.iachina.cn/art/2012/12/26/art_617_11076.html,2012年1-11月保险业经营情况表,--,--,--
131142861.19,43677073.11,87465788.08,76807669.48,7325840.65,3332277.95,,,37301269.33,21679361.86,15621907.48,12464950.85,2393225.82,763730.81,16871000.09,209385904.27,422254794.04,683367505.58,http://www.iachina.cn/art/2012/11/23/art_617_11077.html,2012年1-10月保险业经营情况表,--,--,--
120760009.52,39917903.56,80842105.95,71093467.40,6702517.96,3046120.59,,,33927676.40,19501665.99,14426010.41,11540452.50,2189195.39,696362.52,15079186.46,219792585.50,418047674.27,689994600.65,http://www.iachina.cn/art/2012/11/1/art_617_11078.html,2012年1-9月保险业经营情况表,5016611.14,18422015.01,16046413.06
107272386.73,35355964.66,71916422.06,63535776.90,5794163.89,2586481.27,,,30035211.55,16988801.55,13046410.01,10481915.20,1956828.25,607666.56,13058975.55,206981792.79,405384920.62,664003524.78,http://www.iachina.cn/art/2012/10/9/art_617_11079.html,2012年1-8月保险业经营情况表,--,--,--
95865752.86,31235051.84,64630701.02,57134958.30,5199713.91,2296028.81,,,26224470.27,14518120.28,11706350.00,9490822.88,1696141.08,519386.04,11346707.71,205109667.34,404662909.38,660870251.48,http://www.iachina.cn/art/2012/8/23/art_617_11080.html,2012年1-7月保险业经营情况表,--,--,--
85324640.31,26994861.76,58329778.56,51648406.86,4662031.73,2019339.97,,,22627887.65,12199731.74,10428155.90,8567810.04,1423170.69,437175.17,9718954.64,225778045.09,392262057.79,677602308.91,http://www.iachina.cn/art/2012/7/31/art_617_11081.html,2012年1-6月保险业经营情况表,3741784.00,17226769.00,15520613.00
70782989.87,21901652.75,48881337.12,43620767.39,3605492.42,1655077.31,,,18913823.29,9991226.44,8922596.85,7360018.44,1197768.02,364810.39,7868962.30,198961330.09,395187832.21,643676990.06,http://www.iachina.cn/art/2012/6/28/art_617_11082.html,2012年1-5月保险业经营情况表,--,--,--
59220683.41,17453842.33,41766841.08,37554818.85,2874564.06,1337458.17,,,15233510.82,7703403.32,7530107.50,6292273.24,947866.19,289968.07,6296781.59,193498700.77,389844319.29,632770279.74,http://www.iachina.cn/art/2012/5/25/art_617_11083.html,2012年1-4月保险业经营情况表,--,--,--
48348140.79,13004974.81,35343165.99,32028411.67,2289052.69,1025701.62,,,11719708.42,5726104.19,5993604.23,5039411.82,729704.47,224487.94,4672660.26,206984823.51,381839223.50,636786170.04,http://www.iachina.cn/art/2012/5/4/art_617_11084.html,2012年1-3月保险业经营情况表,2067390.99,15614184.12,14523965.45
32788624.09,8183002.95,24605621.14,22662140.55,1387008.76,556471.83,,,7025880.93,3400485.22,3625395.71,3037822.29,455026.55,132546.87,2959711.72,185722642.68,384862501.65,619349519.45,http://www.iachina.cn/art/2012/3/22/art_617_11085.html,2012年2月保险业经营数据,--,,--
18917623.69,4946729.23,13970894.45,12864408.33,809343.16,297142.96,,,3453928.94,1714885.64,1739043.30,1454020.09,217777.90,67245.31,1542547.07,171392236.28,382269137.27,603163752.37,http://www.iachina.cn/art/2012/3/1/art_617_11086.html,2012年1月保险业经营数据,--,--,--
143392512.22,46178231.58,97214280.64,86955913.67,6917212.77,3341154.20,,,39293732.38,21869338.06,17424394.32,13009348.85,3596650.21,818395.26,18823799.47,177371710.33,377366746.59,601381032.44,http://www.iachina.cn/art/2012/2/7/art_617_11087.html,2011年保险业经营数据,4104683.73,13781773.16,13246962.68
132576050.86,41693289.84,90882761.02,81399808.63,6354094.54,3128857.85,,,35139325.33,18998267.32,16141058.01,12076510.04,3345803.59,718744.38,16077156.72,166705272.51,372358589.66,584621643.25,http://www.iachina.cn/art/2011/12/23/art_617_11088.html,2011年1-11月保险业经营数据,--,--,--
122237167.75,37957038.26,84280129.48,75545789.37,5844001.46,2890338.65,,,31432011.78,16570069.55,14861942.23,11109071.11,3112272.79,640598.33,14378912.35,168282008.82,368481640.98,582101275.73,http://www.iachina.cn/art/2011/12/5/art_617_11089.html,2011年1-10月保险业经营数据,--,--,--
112540065.08,34750215.98,77789849.10,69816537.44,5333272.26,2640039.40,,,28733166.91,14892592.13,13840574.77,10317661.85,2940020.75,582892.17,12884152.44,171833006.65,354276600.17,572569887.42,http://www.iachina.cn/art/2011/10/28/art_617_11090.html,2011年1-9月保险业经营数据,3008505.56,12647375.00,12283144.00
100704809.04,30820074.18,69884734.86,63016986.82,4610507.53,2257240.51,,,25675487.39,12972391.31,12703096.08,9456264.18,2737114.65,509717.25,11149762.86,161747007.13,358463023.46,564383301.08,http://www.iachina.cn/art/2011/10/10/art_617_11091.html,2011年1-8月保险业经营数据,_,_,_
90551815.73,27265057.68,63286758.04,57147973.69,4136722.72,2002061.63,,,22549694.71,11075448.87,11474245.84,8541033.11,2496721.79,436490.94,9683923.94,159818896.51,357271622.82,560736224.82,http://www.iachina.cn/art/2011/9/1/art_617_11092.html,2011年7月保险业经营数据,_,_,_
80566052.64,23595586.59,56970466.04,51530418.91,3678865.36,1761181.77,,,19589615.21,9368162.62,10221452.59,7694829.6,2158781.64,367841.34,8221223.7,176576480.5,343926078.6,574698618,http://www.iachina.cn/art/2011/8/4/art_617_11102.html,2011年6月保险业经营数据,2141021.4,12159371.63,9487298.67
46171580.03,11329333.67,34842246.36,32104391.21,1868675.72,869179.43,,,9803987.24,4293896.49,5510090.76,4371905.46,955324.14,182861.16,3854485.43,162571136.57,338992846.85,540640522.60,http://www.iachina.cn/art/2011/5/3/art_617_11093.html,2011年3月保险业经营数据,1694762.99,11469332.01,8020378.72
30826831.79,7121990.51,23704841.27,22118384.59,1117783.31,468673.37,,,6078861.31,2572262.47,3506598.83,2851639.48,538013.65,116945.70,2410632.07,145991274.97,336714400.54,520771600.66,http://www.iachina.cn/art/2011/3/24/art_617_11094.html,2011年2月保险业经营数据,——,——,——
17168860.35,4768873.62,12399986.73,11426841.51,684517.27,288627.95,,,3555282.14,1694342.51,1860939.63,1491541.75,301004.18,68393.7,1302145.29,136090260.9,334277848.5,508106202.4,http://www.iachina.cn/art/2011/3/10/art_617_11095.html,2011年1月保险业经营数据,——,——,——
145279714.55,38956424.71,106323289.84,96795093.43,6774658.47,2753537.94,,,32004291.64,17560273.50,14444018.14,11089892.04,2640219.87,713906.23,15383514.70,139099714.25,321366512.91,504816086.47,http://www.iachina.cn/art/2011/2/10/art_617_11096.html,2010年1-12月保险业经营数据,3574376.60,10391435.90,7089593.60
134403530.06,35277136.21,99126393.85,90312012.67,6238532.67,2575848.51,,,28126103.02,15033718.78,13092384.24,10151442.32,2312759.04,628182.87,13166419.44,128540388.38,324916235.93,489616630.06,http://www.iachina.cn/art/2010/12/22/art_617_11097.html,2010年1-11月保险业经营数据,——,——,——
